Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross
Annapolis,27/01/2006,Drama,PG-13,17127992,22044113
Roving Mars,27/01/2006,Documentary,G,10407978,12948025
Eight Below,17/02/2006,Adventure,PG,81612565,105037235
The Shaggy Dog,10/03/2006,Comedy,PG,61123569,78667428
Stay Alive,24/03/2006,Horror,PG-13,23086480,29712825
The Wild,14/04/2006,Adventure,G,37384046,48114115
Stick It,28/04/2006,Comedy,PG-13,26910736,34634731
Goal! The Dream Begins,12/05/2006,Drama,PG,4283255,5512647
Cars,09/06/2006,Comedy,G,244082982,314140384
Pirates of the Caribbean: Dead Man’…,07/07/2006,Adventure,PG-13,423315812,544817142
Step Up,11/08/2006,Drama,PG-13,65328121,84078780
Invincible,25/08/2006,Drama,PG,57806952,74398864
The Guardian,29/09/2006,Action,PG-13,55011732,70801353
The Prestige,20/10/2006,Thriller/Suspense,PG-13,53089891,68289913
Tim Burton's The Nightmare Before Chr…,20/10/2006,Musical,PG,24732041,30737517
The Santa Clause 3: The Escape Clause,03/11/2006,Comedy,G,84500122,108694869
Déjà Vu,22/11/2006,Thriller/Suspense,PG-13,64038616,82267038
Apocalypto,08/12/2006,Adventure,R,50866635,64959548
Primeval,12/01/2007,Adventure,R,10597734,12985302
Bridge to Terabithia,16/02/2007,Drama,PG,82234139,100760721
Wild Hogs,02/03/2007,Comedy,PG-13,168213584,206110533
Meet the Robinsons,30/03/2007,Adventure,G,97822171,119860589
The Lookout,30/03/2007,Drama,R,4600585,5637048
The Hoax,06/04/2007,Drama,R,7164995,8779196
The Invisible,27/04/2007,Thriller/Suspense,PG-13,20568319,25202168
Pirates of the Caribbean: At World’…,24/05/2007,Adventure,PG-13,309420425,379129960
Ratatouille,29/06/2007,Comedy,G,206445654,252955933
Underdog,03/08/2007,Adventure,PG,43760605,53619462
The Game Plan,22/09/2007,Comedy,PG,90648202,111010758
Dan in Real Life,20/10/2007,Romantic Comedy,PG-13,47642963,58350234
Enchanted,21/11/2007,Romantic Comedy,PG,127706877,156074310
National Treasure 2: Book of Secrets,21/12/2007,Adventure,PG,219961501,267003525
Hannah Montana/Miley Cyrus: Best of B…,01/02/2008,Concert/Performance,G,65281781,76646993
Step Up 2 the Streets,14/02/2008,Drama,PG-13,58017783,68118371
College Road Trip,07/03/2008,Comedy,G,45610425,53550960
The Chronicles of Narnia: Prince Caspian,16/05/2008,Adventure,PG,141621490,166277038
WALL-E,27/06/2008,Adventure,G,223808164,262771918
Swing Vote,01/08/2008,Comedy,PG-13,16289867,19125841
Goal! 2: Living the Dream...,29/08/2008,Drama,PG-13,225067,264247
Miracle at St. Anna,26/09/2008,Drama,R,7916887,9295171
Beverly Hills Chihuahua,03/10/2008,Comedy,PG,94514402,110932022
Morning Light,17/10/2008,Documentary,PG,275093,322979
High School Musical 3: Senior Year,24/10/2008,Musical,G,90559416,106308538
Bolt,21/11/2008,Comedy,PG,114053759,133702498
Bedtime Stories,25/12/2008,Comedy,PG,110101975,128039679
Confessions of a Shopaholic,13/02/2009,Romantic Comedy,PG,44277350,49767744
Jonas Brothers: The 3D Concert Experi…,27/02/2009,Concert/Performance,G,38174685,38174685
Race to Witch Mountain,13/03/2009,Adventure,PG,67172594,75501997
Hannah Montana the Movie,10/04/2009,Drama,G,79576189,89443640
Earth,22/04/2009,Documentary,G,32011576,35981010
Up,29/05/2009,Adventure,PG,293004164,329336681
The Proposal,19/06/2009,Romantic Comedy,PG-13,163958031,184288829
G-Force,24/07/2009,Adventure,PG,119436770,134246932
Gake no ue no Ponyo,14/08/2009,Adventure,G,15090399,16961607
X Games 3D: The Movie,21/08/2009,Documentary,PG,1391434,1563976
Walt and El Grupo,10/09/2009,Documentary,PG,20521,23064
Surrogates,25/09/2009,Action,PG-13,38577772,43361416
Toy Story 3D Double Feature,02/10/2009,Adventure,G,30702446,34509545
Disney's A Christmas Carol,06/11/2009,Drama,PG,137855863,154927105
The Princess and the Frog,25/11/2009,Adventure,G,104400899,116316457
Old Dogs,25/11/2009,Comedy,PG,49492060,55503929
When in Rome,29/01/2010,Romantic Comedy,PG-13,32680633,34917330
Alice in Wonderland,05/03/2010,Adventure,PG,334191110,357063499
Waking Sleeping Beauty,26/03/2010,Documentary,PG,80741,86264
The Last Song,31/03/2010,Drama,PG,62950384,67258772
Oceans,22/04/2010,Documentary,G,19422319,20751600
Prince of Persia: Sands of Time,28/05/2010,Action,PG-13,90759676,96971361
Toy Story 3,18/06/2010,Adventure,G,415004880,443408255
The Sorcerer's Apprentice,14/07/2010,Adventure,PG,63150991,67473105
Step Up 3D,06/08/2010,Drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),13/08/2010,Adventure,PG-13,48658,51988
You Again,24/09/2010,Comedy,PG,25702053,27461121
Secretariat,08/10/2010,Drama,PG,59699513,63781920
Tangled,24/11/2010,Adventure,PG,200821936,214388548
Tron: Legacy,17/12/2010,Adventure,PG,172062763,183619259
Gnomeo and Juliet,11/02/2011,Comedy,G,99967670,106270797
I am Number Four,18/02/2011,Adventure,PG-13,55100437,58574607
Mars Needs Moms,11/03/2011,Adventure,PG,21392758,22741603
African Cats,22/04/2011,Documentary,G,15428747,16401551
Zokkomon,22/04/2011,Adventure,PG,2815,2984
Prom,29/04/2011,Comedy,PG,10130219,10768946
Pirates of the Caribbean: On Stranger…,20/05/2011,Adventure,PG-13,241063875,256263359
Cars 2,24/06/2011,Adventure,G,191450875,203522177
Winnie the Pooh,15/07/2011,Adventure,G,26692846,28375869
The Help,10/08/2011,Drama,PG-13,169705587,180404976
Fright Night,19/08/2011,Horror,R,18298649,19452402
Real Steel,07/10/2011,Action,PG-13,85463309,90848019
The Muppets,23/11/2011,Comedy,PG,88625922,94189503
War Horse,25/12/2011,Drama,PG-13,79883359,84762149
The Secret World of Arietty,17/02/2012,Adventure,G,19192510,20325733
John Carter,09/03/2012,Adventure,PG-13,73058679,77372445
Chimpanzee,20/04/2012,Documentary,G,28965459,30675725
The Avengers,04/05/2012,Action,PG-13,623279547,660081224
Brave,22/06/2012,Adventure,PG,237282182,251292441
People Like Us,29/06/2012,Drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,15/08/2012,Drama,PG,51853450,54914942
Frankenweenie,05/10/2012,Comedy,PG,35287788,37363513
Wreck-It Ralph,02/11/2012,Adventure,PG,189412677,200354959
Lincoln,09/11/2012,Drama,PG-13,182207973,192122330
Oz the Great and Powerful,08/03/2013,Adventure,PG,234770996,243434130
Iron Man 3,03/05/2013,Action,PG-13,408992272,424084233
Monsters University,21/06/2013,Adventure,G,268488329,278395641
The Lone Ranger,02/07/2013,Western,PG-13,89302115,92597388
Disney Planes,09/08/2013,Comedy,PG,90282580,93614037
The Fifth Estate,18/10/2013,Drama,R,3254172,3374251
Thor: The Dark World,08/11/2013,Adventure,PG-13,206362140,213962184
Kaze Tachinu,08/11/2013,Drama,PG-13,5201879,5367415
Frozen,22/11/2013,Adventure,PG,400738009,414997174
Delivery Man,22/11/2013,Comedy,PG-13,30659817,31787136
Saving Mr. Banks,13/12/2013,Drama,PG-13,83299761,86249969
Need for Speed,14/03/2014,Action,PG-13,43568507,44955015
Muppets Most Wanted,21/03/2014,Comedy,PG,51178893,52807594
Captain America: The Winter Soldier,04/04/2014,Action,PG-13,259746958,268013076
Bears,18/04/2014,Documentary,G,17780194,18346024
Million Dollar Arm,10/05/2014,Drama,PG,36447959,37607865
Maleficent,30/05/2014,Adventure,PG,241407328,249089809
Planes: Fire and Rescue,18/07/2014,Adventure,PG,59157732,61040349
Guardians of the Galaxy,01/08/2014,Adventure,PG-13,333172112,343771168
The Hundred-Foot Journey,08/08/2014,Romantic Comedy,PG,54235441,55961409
"Alexander and the Terrible, Horrible,…",10/10/2014,Comedy,PG,66954149,69055550
Big Hero 6,07/11/2014,Adventure,PG,222527828,229249222
Into the Woods,25/12/2014,Musical,PG,128002372,130894237
Strange Magic,23/01/2015,Adventure,PG,12429583,12429583
"McFarland, USA",20/02/2015,Drama,PG,44480275,44480275
Cinderella,13/03/2015,Drama,PG,201151353,201151353
Monkey Kingdom,17/04/2015,Documentary,G,16432322,16432322
Avengers: Age of Ultron,01/05/2015,Action,PG-13,459005868,459005868
Tomorrowland,22/05/2015,Adventure,PG,93436322,93436322
Inside Out,19/06/2015,Adventure,PG,356461711,356461711
Ant-Man,17/07/2015,Action,PG-13,180202163,180202163
Bridge of Spies,16/10/2015,Thriller/Suspense,PG-13,72313754,72313754
The Good Dinosaur,25/11/2015,Adventure,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,18/12/2015,Adventure,PG-13,936662225,936662225
The Finest Hours,29/01/2016,Thriller/Suspense,PG,27569558,27569558
Zootopia,04/03/2016,Adventure,PG,341268248,341268248
The Jungle Book,15/04/2016,Adventure,PG,364001123,364001123
A Beautiful Planet,29/04/2016,Documentary,G,7895708,7895708
Captain America: Civil War,06/05/2016,Action,PG-13,408084349,408084349
Alice Through the Looking Glass,27/05/2016,Adventure,PG,77042381,77042381
Finding Dory,17/06/2016,Adventure,PG,486295561,486295561
The BFG,01/07/2016,Adventure,PG,55483770,55483770
Pete’s Dragon,12/08/2016,Adventure,PG,76233151,76233151
The Light Between Oceans,02/09/2016,Drama,PG-13,12545979,12545979
Queen of Katwe,23/09/2016,Drama,PG,8874389,8874389
Doctor Strange,04/11/2016,Adventure,PG-13,232532923,232532923
Moana,23/11/2016,Adventure,PG,246082029,246082029
Rogue One: A Star Wars Story,16/12/2016,Adventure,PG-13,529483936,529483936
